Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
waitForPageLoad,Chrome 59.0.3071.115,,2017-07-24 16:16:11,2017-07-24 16:16:11,0.201s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:16:11,2017-07-24 16:16:11,0.373s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Activate your"", true))",Chrome 59.0.3071.115,,2017-07-24 16:16:11,2017-07-24 16:16:11,0.202s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:16:11,2017-07-24 16:16:14,2.210s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:16:14,2017-07-24 16:16:16,2.519s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:16:16,2017-07-24 16:16:17,0.541s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:16:17,2017-07-24 16:16:18,1.133s,PASSED
waitForElementNotPresent,Chrome 59.0.3071.115,,2017-07-24 16:16:18,2017-07-24 16:17:09,50.773s,PASSED
verifyElementNotPresent,Chrome 59.0.3071.115,,2017-07-24 16:17:09,2017-07-24 16:17:09,0.022s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:17:09,2017-07-24 16:17:09,0.186s,PASSED
verifyTextNotPresent,Chrome 59.0.3071.115,,2017-07-24 16:17:09,2017-07-24 16:17:09,0.183s,PASSED
,,,,,,
Test Cases/My Content/Product and Services/Modal/Verify_Send_to_review/Send_to_review_Edit_PandS_Draft,Chrome 59.0.3071.115,,2017-07-24 16:17:09,2017-07-24 16:19:02,1m - 53.322s,FAILED
callTestCase,Chrome 59.0.3071.115,,2017-07-24 16:17:10,2017-07-24 16:18:00,50.813s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:18:00,2017-07-24 16:18:02,1.908s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:18:02,2017-07-24 16:18:05,2.372s,PASSED
Statement - Title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Pages  junetest2bda/h3_Title)),Chrome 59.0.3071.115,,2017-07-24 16:18:05,2017-07-24 16:18:05,0.486s,PASSED
click,Chrome 59.0.3071.115,,2017-07-24 16:18:05,2017-07-24 16:18:05,0.207s,PASSED
waitForElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:18:05,2017-07-24 16:18:07,1.883s,PASSED
verifyElementPresent,Chrome 59.0.3071.115,,2017-07-24 16:18:07,2017-07-24 16:18:07,0.152s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:18:07,2017-07-24 16:18:08,0.763s,PASSED
check,Chrome 59.0.3071.115,,2017-07-24 16:18:08,2017-07-24 16:18:08,0.087s,PASSED
Statement - ProductWeightValue = ProductMemberWeight,Chrome 59.0.3071.115,,2017-07-24 16:18:08,2017-07-24 16:18:08,0.000s,PASSED
setText,Chrome 59.0.3071.115,,2017-07-24 16:18:08,2017-07-24 16:18:09,0.213s,PASSED
Statement - ProductMemberWeight -= 1,Chrome 59.0.3071.115,,2017-07-24 16:18:09,2017-07-24 16:18:09,0.000s,PASSED
Statement - Selected_icon = CustomKeywords.random.Rand_Icon_PS.rand_icon(81),Chrome 59.0.3071.115,Random Icon Selector\\r\\n,2017-07-24 16:18:09,2017-07-24 16:18:09,0.001s,PASSED
selectOptionByIndex,Chrome 59.0.3071.115,,2017-07-24 16:18:09,2017-07-24 16:18:09,0.851s,PASSED
Statement - Ctext = CustomKeywords.random.Rand_CkEd_Text.rand_text(CKText),Chrome 59.0.3071.115,Random Ckeditor Text Generator\\r\\n,2017-07-24 16:18:09,2017-07-24 16:18:09,0.002s,PASSED
